"kind_vorname","kind_geburtsdatum","kind_geschlecht","elt_vorname","elt_nachname","elt_geschlecht","elt_strasse","elt_haus_nr","elt_haus_nr_zusatz","elt_plz","elt_ort","kita_name"
"Maria","2012-09-13","weiblich","Klaus","Kastner","männlich","Lungolago","44",,"5723","Teufenthal","Kiga Schwandenwiesen II"
"Maria","2012-09-13","weiblich","Sabine","Saenger","weiblich","Lungolago","44",,"5723","Teufenthal","Kiga Schwandenwiesen II"
"Maria","2016-07-10","weiblich","Martin","Unger","männlich","Allmenrüti","81",,"8482","Sennhof","Kiga Holzerhurd"
"Maria","2016-07-10","weiblich","Melanie","Unger","weiblich","Allmenrüti","81",,"8482","Sennhof","Kiga Holzerhurd"
"Nicole","2012-08-29","weiblich","Dirk","Eisenberg","männlich","Hauptstrasse","109",,"1669","Montbovon","Kiga Ruggächer II"
"Nicole","2012-08-29","weiblich","Petra","Meier","weiblich","Hauptstrasse","109",,"1669","Montbovon","Kiga Ruggächer II"
"Petra","2016-09-20","weiblich","Leon","Wolf","männlich","Via Schliffras","140","A","5272","Gansingen","Kiga Isengrind II"
"Petra","2016-09-20","weiblich","Sara","Frei","weiblich","Via Schliffras","140","A","5272","Gansingen","Kiga Isengrind II"
"Sara","2017-11-13","weiblich","Tom","Naumann","männlich","Hasenbühlstrasse","38",,"6743","Bodio","Kiga Reckenholz II"
"Sara","2017-11-13","weiblich","Sandra","Schweitzer","weiblich","Hasenbühlstrasse","38",,"6743","Bodio","Kiga Reckenholz II"
"Maria","2017-02-02","weiblich","Mathias","Eisenhauer","männlich","Kornquaderweg","26",,"8192","Rheinsfelden","Kiga Holunderhof II"
"Maria","2017-02-02","weiblich","Jessica","Eiffel","weiblich","Kornquaderweg","26",,"8192","Rheinsfelden","Kiga Holunderhof II"
"Marie","2014-08-01","weiblich","Ralf","Wannemaker","männlich","Via dalla Staziun","86",,"1195","Dully","Kiga Künzli"
"Marie","2014-08-01","weiblich","Monika","Neustadt","weiblich","Via dalla Staziun","86",,"1195","Dully","Kiga Künzli"
"Marko","2017-09-05","männlich","Klaus","Lowe","männlich","Lungolago","136",,"7162","Tavanasa","Kiga Nordheim"
"Marko","2017-09-05","männlich","Ines","Koehler","weiblich","Lungolago","136",,"7162","Tavanasa","Kiga Nordheim"
"Ulrich","2015-04-16","männlich","Mario","Papst","männlich","Neubertbogen","134",,"8620","Robenhausen","Kiga Regina-Kägi-Hof I"
"Ulrich","2015-04-16","männlich","Daniela","Freeh","weiblich","Neubertbogen","134",,"8620","Robenhausen","Kiga Regina-Kägi-Hof I"
"Florian","2011-01-01","männlich","Mario","Reinhardt","männlich","In Stierwisen","83",,"6805","Mezzovico","Kiga Riedenhalden III"
"Florian","2011-01-01","männlich","Anna","Scherer","weiblich","In Stierwisen","83",,"6805","Mezzovico","Kiga Riedenhalden III"
"Leon","2017-03-17","männlich","Jens","Schaefer","männlich","Lützelflühstrasse","132",,"6130","Willisau","Kiga Eugen Huber-Strasse 21"
"Leon","2017-03-17","männlich","Daniela","Finkel","weiblich","Lützelflühstrasse","132",,"6130","Willisau","Kiga Eugen Huber-Strasse 21"
"Ralf","2014-05-24","männlich","Daniel","Frei","männlich","In Stierwisen","55",,"2827","Mervelier","Kiga Altweg 1"
"Ralf","2014-05-24","männlich","Maria","Kuester","weiblich","In Stierwisen","55",,"2827","Mervelier","Kiga Altweg 1"
"Nicole","2018-11-04","weiblich","Florian","Kalb","männlich","Kronwiesenweg","2",,"1223","La Capite","Kiga Altweg 3"
"Nicole","2018-11-04","weiblich","Tanja","Duerr","weiblich","Kronwiesenweg","2",,"1223","La Capite","Kiga Altweg 3"
"Anke","2013-11-10","weiblich","Daniel","Weber","männlich","Kornquaderweg","5",,"5734","Reinach","Kiga Grünau 2"
